"fa, dNeff_GG, dNeff_full"
15343684.0893001,0.00030912575674725,0.00224451125075831
15702901.2472938,0.000290653035984227,0.00214911460214126
16070528.1826164,0.000273283367356039,0.00205081485502836
16446761.7799466,0.000256950995320399,0.00196068251683445
16831803.5333095,0.000241594073517347,0.00188273052075477
17225859.6539879,0.000227154434293115,0.0017923327223066
17629141.1809595,0.000213577368076486,0.00170978126959771
18041864.0939207,0.000200811423018097,0.00162399877920283
18464249.4289554,0.000188808209131012,0.00154956934868228
18896523.3969121,0.000177522217509245,0.00149030228036463
19338917.5045523,0.000166910649514394,0.00142102598099321
19791668.6785356,0.000156933256000537,0.00135936023020736
20255019.3923067,0.000147552186011775,0.00129707488910371
20729217.7959537,0.000138731844402916,0.00123927086734
21214517.8491063,0.000130438757841536,0.0011816779354047
21711179.4569451,0.000122641448849369,0.0011310639226372
22219468.6093952,0.000115310317082592,0.00108010074580945
22739657.5235793,0.000108417527862514,0.00101869691005555
23272024.7896041,0.000101936907245051,0.000980024345490659
23816855.5197616,9.58438433770478e-05,0.000935782201388988
24374441.5012222,9.01151937803078e-05,0.000898713764401769
24945081.3523032,8.47291982551363e-05,0.000858684068755543
25529080.6823952,7.96653971340376e-05,0.000816536408152
26126752.2556333,7.49045546642487e-05,0.000778414281137836
26738416.1583994,7.04249892927481e-05,0.000743774895277482
27364399.9707467,6.62131722566945e-05,0.000710066226899918
28005038.9418363,6.2253658278844e-05,0.000679601717898923
28660676.1694825,5.85313840234195e-05,0.000648795583875984
29331662.7839004,5.50317178696908e-05,0.000619278191392181
30018358.1357559,5.17403095651924e-05,0.000590654407271373
30721129.9886176,4.86457830033149e-05,0.000565565104600887
31440354.715915,4.57363617724481e-05,0.000540393212933337
32176417.5025074,4.30009736094512e-05,0.000516793133372198
32929712.5509715,4.04292083570176e-05,0.000492326178185427
33700643.2927192,3.80112783877489e-05,0.000473067023629372
34489622.6040576,3.57379814094085e-05,0.000448528785104419
35297073.0273065,3.3600665484941e-05,0.000423514826605082
36123426.9970943,3.15911961397476e-05,0.000411079164644039
36969127.0719502,2.97019254320398e-05,0.000392783904120737
37834626.1713193,2.79256628694324e-05,0.00036958393891497
38720387.8181256,2.62556480618608e-05,0.000352670788017022
39626886.3870148,2.46855250074144e-05,0.000340811890977102
40554607.3584083,2.32093179138124e-05,0.0003175379629879
41504047.5785047,2.18214084640136e-05,0.000306000768537619
42475715.5253689,2.05165144388602e-05,0.000293282591107996
43470131.5812503,1.92896696220905e-05,0.00027970247092727
44487828.3112759,1.81362048953698e-05,0.000267273903482881
45529350.7486695,1.70517304739068e-05,0.00025532087331651
46595256.6866468,1.60321191981553e-05,0.000243834843418065
47686116.9771447,1.50734908252821e-05,0.000223805210262617
48802515.8365443,1.41721972595944e-05,0.000210704967912888
49945051.1585514,1.33246655027819e-05,0.000211179124937957
51114334.8344017,1.25277490960951e-05,0.000196545388871359
52310993.0805626,1.17785025760225e-05,0.000184606638768803
53535666.7741072,1.10740744763458e-05,0.000176643577635667
54789011.7959394,1.04117838604256e-05,0.000168923155603063
56071699.3820546,9.78911012759438e-06,0.000163800135836418
57384416.4830239,9.20368342836402e-06,0.000156686706731935
58727866.1318949,8.65327565214107e-06,0.000150602977788209
60102767.8207039,8.13579195330186e-06,0.000143388350827338
61509857.885805,7.64926278351085e-06,0.000137295747759969
62949889.9022189,7.1918364000783e-06,0.000128645683992494
64423635.0872137,6.76177182195037e-06,0.000122305899719901
65931882.7133354,6.35743220661651e-06,0.000119798843045121
67475440.5311069,5.97727862281056e-06,0.000106215259615174
69055135.2016233,5.6198641953781e-06,0.000105237018312217
70671812.7392749,5.28382860009084e-06,9.78780931167655e-05
72326338.9648353,4.96789289688012e-06,9.60437393470792e-05
74019599.9691565,4.67085462507528e-06,9.47529597899604e-05
75752502.5877192,4.39158328551553e-06,8.906424395822e-05
77525974.8862946,4.12901599907029e-06,8.55319990939374e-05
79340966.6579749,3.88215347155115e-06,8.14246535055766e-05
81198449.9318401,3.65005619050303e-06,7.76709170767055e-05
83099419.4935339,3.43184084938952e-06,7.40304223228888e-05
85044893.4180267,3.22667698558601e-06,7.05063530094404e-05
87035913.6148517,3.03378381940485e-06,6.69895351995785e-05
89073546.3861044,2.85242728213964e-06,6.17706153223235e-05
91158882.9975082,2.6819172218321e-06,6.2030896707767e-05
93293040.262847,2.5216047761404e-06,5.94856160635322e-05
